  cell  ,E,W,N,S
"(10, 5)",0,1,1,0
"(11, 5)",1,0,0,1
"(12, 5)",0,1,1,0
"(13, 5)",0,1,0,1
"(14, 5)",0,0,1,1
"(15, 5)",1,0,1,0
"(16, 5)",0,1,0,1
"(17, 5)",0,0,1,1
"(18, 5)",1,1,1,0
"(19, 5)",1,0,0,1
"(20, 5)",1,0,1,0
"(21, 5)",0,1,0,1
"(22, 5)",1,1,1,0
"(1, 6)",0,1,0,1
"(2, 6)",1,0,1,0
"(3, 6)",1,1,0,0
"(4, 6)",0,1,0,1
"(5, 6)",1,0,1,0
"(6, 6)",0,1,0,1
"(7, 6)",1,0,1,1
"(8, 6)",1,0,1,0
"(9, 6)",0,1,0,1
"(10, 6)",0,0,1,1
"(11, 6)",1,1,1,0
"(12, 6)",1,0,0,0
"(13, 6)",1,0,0,1
"(14, 6)",0,0,1,1
"(15, 6)",0,1,1,0
"(16, 6)",0,0,0,1
"(17, 6)",0,0,1,1
"(18, 6)",0,1,1,1
"(19, 6)",1,1,1,0
"(20, 6)",0,1,0,1
"(21, 6)",0,0,1,0
"(22, 6)",1,1,0,0
"(1, 7)",1,0,0,0
"(2, 7)",1,1,0,0
"(3, 7)",1,1,0,1
"(4, 7)",0,0,1,0
"(5, 7)",1,1,0,0
"(6, 7)",1,0,0,1
"(7, 7)",0,1,1,0
"(8, 7)",1,1,0,0
"(9, 7)",1,0,0,1
"(10, 7)",1,0,1,0
"(11, 7)",0,1,0,1
"(12, 7)",0,1,1,0
"(13, 7)",0,1,0,1
"(14, 7)",1,0,1,0
"(15, 7)",1,0,0,1
"(16, 7)",0,0,1,1
"(17, 7)",0,0,1,1
"(18, 7)",1,0,1,0
"(19, 7)",0,1,0,0
"(20, 7)",1,0,0,1
"(21, 7)",0,0,1,1
"(22, 7)",0,1,1,0
"(1, 8)",1,1,0,0
"(2, 8)",1,1,0,0
"(3, 8)",1,1,0,0
"(4, 8)",1,0,0,1
"(5, 8)",0,1,1,0
"(6, 8)",1,1,0,1
"(7, 8)",1,0,1,0
"(8, 8)",0,1,0,1
"(9, 8)",0,1,1,0
"(10, 8)",0,1,0,1
"(11, 8)",0,0,1,1
"(12, 8)",0,0,1,1
"(13, 8)",0,0,1,1
"(14, 8)",1,1,1,0
"(15, 8)",1,1,0,0
"(16, 8)",0,0,0,1
"(17, 8)",1,0,1,0
"(18, 8)",0,1,0,1
"(19, 8)",0,0,1,1
"(20, 8)",0,1,1,0
"(21, 8)",0,0,0,1
"(22, 8)",1,0,1,0
"(1, 9)",1,1,0,1
"(2, 9)",0,1,1,0
"(3, 9)",1,1,0,0
"(4, 9)",1,1,0,0
"(5, 9)",0,0,0,1
"(6, 9)",0,1,1,0
"(7, 9)",0,1,0,1
"(8, 9)",1,0,1,0
"(9, 9)",1,0,0,1
"(10, 9)",1,0,1,0
"(11, 9)",1,0,0,0
"(12, 9)",1,0,0,1
"(13, 9)",0,0,1,1
"(14, 9)",0,1,1,0
"(15, 9)",0,1,0,1
"(16, 9)",0,0,1,1
"(17, 9)",0,1,1,1
"(18, 9)",0,0,1,1
"(19, 9)",1,0,1,0
"(20, 9)",1,0,0,1
"(21, 9)",0,0,1,1
"(22, 9)",1,1,1,0
"(1, 10)",1,1,0,0
"(2, 10)",0,0,0,1
"(3, 10)",0,1,1,0
"(4, 10)",0,1,0,1
"(5, 10)",1,0,1,0
"(6, 10)",1,0,0,1
"(7, 10)",0,0,1,1
"(8, 10)",1,1,1,0
"(9, 10)",1,1,0,0
"(10, 10)",1,1,0,0
"(11, 10)",0,1,0,1
"(12, 10)",0,1,1,0
"(13, 10)",1,0,0,1
"(14, 10)",1,0,1,1
"(15, 10)",0,0,1,1
"(16, 10)",1,0,1,0
"(17, 10)",1,0,0,1
"(18, 10)",0,0,1,0
"(19, 10)",0,1,0,1
"(20, 10)",0,1,1,0
"(21, 10)",1,0,0,1
"(22, 10)",0,1,1,0
"(1, 11)",0,1,0,1
"(2, 11)",1,0,1,0
"(3, 11)",1,0,0,1
"(4, 11)",1,0,1,0
"(5, 11)",1,1,0,0
"(6, 11)",0,1,0,1
"(7, 11)",1,0,1,0
"(8, 11)",1,1,0,0
"(9, 11)",1,1,0,0
"(10, 11)",0,1,0,1
"(11, 11)",0,0,1,1
"(12, 11)",0,0,1,1
"(13, 11)",0,1,1,0
"(14, 11)",0,1,0,1
"(15, 11)",1,0,1,0
"(16, 11)",1,1,0,0
"(17, 11)",0,1,0,1
"(18, 11)",0,0,1,1
"(19, 11)",1,0,1,0
"(20, 11)",1,0,0,1
"(21, 11)",0,1,1,0
"(22, 11)",1,0,0,0
"(1, 12)",1,0,0,0
"(2, 12)",0,1,0,1
"(3, 12)",0,1,1,0
"(4, 12)",0,1,0,1
"(5, 12)",0,1,1,0
"(6, 12)",1,0,0,1
"(7, 12)",0,1,1,0
"(8, 12)",0,1,0,0
"(9, 12)",0,1,0,1
"(10, 12)",0,0,1,1
"(11, 12)",1,0,1,0
"(12, 12)",0,0,0,1
"(13, 12)",1,0,1,1
"(14, 12)",1,0,1,0
"(15, 12)",1,1,0,0
"(16, 12)",1,1,0,0
"(17, 12)",1,0,0,1
"(18, 12)",1,0,1,0
"(19, 12)",1,1,0,0
"(20, 12)",0,1,0,1
"(21, 12)",0,0,1,1
"(22, 12)",1,1,1,0
"(1, 13)",1,1,0,0
"(2, 13)",1,0,0,1
"(3, 13)",0,0,1,1
"(4, 13)",1,0,1,1
"(5, 13)",1,0,1,0
"(6, 13)",0,1,0,1
"(7, 13)",0,0,1,1
"(8, 13)",1,0,1,1
"(9, 13)",1,0,1,0
"(10, 13)",1,0,0,0
"(11, 13)",0,1,0,1
"(12, 13)",1,0,1,1
"(13, 13)",0,1,1,0
"(14, 13)",0,1,0,0
"(15, 13)",1,1,0,0
"(16, 13)",0,1,0,1
"(17, 13)",0,1,1,0
"(18, 13)",1,1,0,0
"(19, 13)",1,1,0,1
"(20, 13)",0,0,1,1
"(21, 13)",1,0,1,0
"(22, 13)",1,1,0,0
"(1, 14)",1,1,0,0
"(2, 14)",1,1,0,1
"(3, 14)",0,0,1,0
"(4, 14)",1,1,0,0
"(5, 14)",0,1,0,1
"(6, 14)",0,0,1,1
"(7, 14)",1,0,1,0
"(8, 14)",1,1,0,0
"(9, 14)",0,1,0,1
"(10, 14)",0,1,1,0
"(11, 14)",1,0,0,1
"(12, 14)",0,1,1,0
"(13, 14)",1,0,0,1
"(14, 14)",0,0,1,1
"(15, 14)",0,1,1,0
"(16, 14)",1,0,0,0
"(17, 14)",1,0,0,1
"(18, 14)",0,1,1,0
"(19, 14)",1,1,0,0
"(20, 14)",0,0,0,1
"(21, 14)",0,1,1,0
"(22, 14)",1,1,0,0
"(1, 15)",1,1,0,1
"(2, 15)",0,1,1,0
"(3, 15)",1,0,0,1
"(4, 15)",0,1,1,0
"(5, 15)",1,0,0,0
"(6, 15)",1,0,0,1
"(7, 15)",0,1,1,0
"(8, 15)",0,1,0,1
"(9, 15)",1,0,1,1
"(10, 15)",1,0,1,0
"(11, 15)",1,1,0,0
"(12, 15)",1,0,0,1
"(13, 15)",0,1,1,0
"(14, 15)",1,0,0,1
"(15, 15)",0,0,1,1
"(16, 15)",1,1,1,0
"(17, 15)",1,1,0,0
"(18, 15)",1,0,0,1
"(19, 15)",0,1,1,1
"(20, 15)",1,0,1,0
"(21, 15)",1,0,0,1
"(22, 15)",0,1,1,0
"(1, 16)",0,1,0,0
"(2, 16)",1,0,0,1
"(3, 16)",0,1,1,0
"(4, 16)",1,0,0,1
"(5, 16)",1,1,1,0
"(6, 16)",0,1,0,1
"(7, 16)",0,0,1,1
"(8, 16)",1,0,1,0
"(9, 16)",0,1,0,0
"(10, 16)",1,1,0,0
"(11, 16)",1,1,0,0
"(12, 16)",0,1,0,1
"(13, 16)",1,0,1,0
"(14, 16)",0,1,0,1
"(15, 16)",1,0,1,0
"(16, 16)",1,1,0,0
"(17, 16)",1,1,0,0
"(18, 16)",0,1,0,0
"(19, 16)",1,0,0,1
"(20, 16)",1,1,1,0
"(21, 16)",1,1,0,0
"(22, 16)",1,0,0,0
"(1, 17)",1,0,0,1
"(2, 17)",0,1,1,0
"(3, 17)",1,0,0,1
"(4, 17)",0,1,1,0
"(5, 17)",0,1,0,0
"(6, 17)",1,0,0,1
"(7, 17)",1,0,1,0
"(8, 17)",0,1,0,1
"(9, 17)",0,0,1,1
"(10, 17)",1,1,1,0
"(11, 17)",1,1,0,0
"(12, 17)",1,0,0,0
"(13, 17)",0,1,0,1
"(14, 17)",1,0,1,0
"(15, 17)",1,1,0,0
"(16, 17)",1,1,0,0
"(17, 17)",1,1,0,0
"(18, 17)",1,0,0,1
"(19, 17)",0,1,1,0
"(20, 17)",1,1,0,0
"(21, 17)",0,1,0,1
"(22, 17)",1,1,1,0
"(1, 18)",1,1,0,1
"(2, 18)",1,0,1,0
"(3, 18)",0,1,0,1
"(4, 18)",0,0,1,1
"(5, 18)",1,0,1,0
"(6, 18)",1,1,0,0
"(7, 18)",0,1,0,1
"(8, 18)",1,0,1,1
"(9, 18)",0,0,1,0
"(10, 18)",1,1,0,0
"(11, 18)",1,1,0,0
"(12, 18)",0,1,0,1
"(13, 18)",1,0,1,0
"(14, 18)",1,1,0,0
"(15, 18)",0,1,0,0
"(16, 18)",1,1,0,0
"(17, 18)",1,1,0,0
"(18, 18)",0,1,0,1
"(19, 18)",1,0,1,0
"(20, 18)",0,1,0,1
"(21, 18)",1,0,1,0
"(22, 18)",1,1,0,0
"(1, 19)",1,1,0,0
"(2, 19)",1,1,0,0
"(3, 19)",1,0,0,1
"(4, 19)",1,0,1,0
"(5, 19)",1,1,0,1
"(6, 19)",0,1,1,0
"(7, 19)",1,0,0,0
"(8, 19)",1,1,0,0
"(9, 19)",1,0,0,1
"(10, 19)",0,1,1,0
"(11, 19)",1,1,0,0
"(12, 19)",1,0,0,1
"(13, 19)",1,1,1,0
"(14, 19)",0,1,0,1
"(15, 19)",1,0,1,0
"(16, 19)",1,1,0,1
"(17, 19)",0,1,1,0
"(18, 19)",1,0,0,1
"(19, 19)",0,1,1,0
"(20, 19)",1,0,0,1
"(21, 19)",0,1,1,0
"(22, 19)",1,1,0,0
"(1, 20)",0,1,0,0
"(2, 20)",0,1,0,1
"(3, 20)",0,1,1,0
"(4, 20)",1,1,0,0
"(5, 20)",0,1,0,1
"(6, 20)",0,0,1,1
"(7, 20)",1,1,1,0
"(8, 20)",0,1,0,1
"(9, 20)",0,1,1,1
"(10, 20)",0,0,1,0
"(11, 20)",0,1,0,1
"(12, 20)",0,1,1,0
"(13, 20)",1,1,0,0
"(14, 20)",1,0,0,1
"(15, 20)",0,1,1,0
"(16, 20)",1,1,0,0
"(17, 20)",1,0,0,1
"(18, 20)",1,1,1,0
"(19, 20)",0,0,0,1
"(20, 20)",0,1,1,1
"(21, 20)",1,0,1,0
"(22, 20)",1,1,0,0
"(1, 21)",1,0,0,1
"(2, 21)",1,0,1,0
"(3, 21)",1,0,0,1
"(4, 21)",0,1,1,0
"(5, 21)",1,0,0,1
"(6, 21)",1,0,1,0
"(7, 21)",0,1,0,1
"(8, 21)",0,0,1,1
"(9, 21)",1,0,1,0
"(10, 21)",1,0,0,1
"(11, 21)",1,0,1,1
"(12, 21)",0,0,1,0
"(13, 21)",1,1,0,0
"(14, 21)",1,1,0,0
"(15, 21)",1,0,0,0
"(16, 21)",1,1,0,0
"(17, 21)",1,1,0,0
"(18, 21)",0,1,0,0
"(19, 21)",1,0,0,1
"(20, 21)",1,0,1,0
"(21, 21)",0,1,0,0
"(22, 21)",1,1,0,0
"(1, 22)",1,1,0,0
"(2, 22)",0,1,0,1
"(3, 22)",0,1,1,0
"(4, 22)",1,0,0,1
"(5, 22)",0,1,1,0
"(6, 22)",0,1,0,1
"(7, 22)",1,0,1,0
"(8, 22)",0,0,0,1
"(9, 22)",0,1,1,0
"(10, 22)",1,1,0,0
"(11, 22)",1,1,0,0
"(12, 22)",1,0,0,1
"(13, 22)",0,1,1,0
"(14, 22)",1,1,0,0
"(15, 22)",1,1,0,0
"(16, 22)",1,1,0,0
"(17, 22)",0,1,0,1
"(18, 22)",1,0,1,0
"(19, 22)",1,1,0,0
"(20, 22)",1,1,0,0
"(21, 22)",1,0,0,1
"(22, 22)",0,1,1,0
"(1, 23)",1,1,0,1
"(2, 23)",0,0,1,1
"(3, 23)",0,0,1,1
"(4, 23)",0,1,1,0
"(5, 23)",0,0,0,1
"(6, 23)",1,0,1,0
"(7, 23)",0,1,0,1
"(8, 23)",0,0,1,1
"(9, 23)",1,0,1,1
"(10, 23)",0,1,1,0
"(11, 23)",0,1,0,1
"(12, 23)",0,1,1,0
"(13, 23)",1,0,0,1
"(14, 23)",0,1,1,0
"(15, 23)",0,1,0,1
"(16, 23)",0,1,1,1
"(17, 23)",0,0,1,1
"(18, 23)",1,1,1,0
"(19, 23)",1,1,0,0
"(20, 23)",0,1,0,1
"(21, 23)",0,1,1,0
"(22, 23)",1,0,0,0
"(1, 24)",0,1,0,1
"(2, 24)",0,0,1,1
"(3, 24)",1,0,1,1
"(4, 24)",0,0,1,1
"(5, 24)",0,0,1,1
"(6, 24)",0,1,1,0
"(7, 24)",1,0,0,1
"(8, 24)",1,0,1,0
"(9, 24)",0,1,0,1
"(10, 24)",0,0,1,1
"(11, 24)",1,0,1,1
"(12, 24)",0,0,1,0
"(13, 24)",0,1,0,1
"(14, 24)",0,0,1,1
"(15, 24)",1,0,1,0
"(16, 24)",1,0,0,1
"(17, 24)",0,0,1,1
"(18, 24)",0,1,1,0
"(19, 24)",1,1,0,0
"(20, 24)",1,0,0,1
"(21, 24)",0,0,1,1
"(22, 24)",0,1,1,0
"(1, 25)",1,0,0,0
"(2, 25)",1,0,0,1
"(3, 25)",0,1,1,0
"(4, 25)",1,0,0,1
"(5, 25)",0,0,1,1
"(6, 25)",0,0,1,1
"(7, 25)",0,1,1,0
"(8, 25)",0,1,0,1
"(9, 25)",1,0,1,0
"(10, 25)",0,0,0,1
"(11, 25)",0,1,1,0
"(12, 25)",1,0,0,1
"(13, 25)",0,0,1,1
"(14, 25)",0,0,1,1
"(15, 25)",0,1,1,0
"(16, 25)",1,1,0,0
"(17, 25)",0,0,0,1
"(18, 25)",1,0,1,0
"(19, 25)",1,1,0,0
"(20, 25)",0,1,0,1
"(21, 25)",0,0,1,1
"(22, 25)",1,0,1,0
"(1, 26)",1,1,0,0
"(2, 26)",0,1,0,1
"(3, 26)",1,0,1,0
"(4, 26)",1,1,0,0
"(5, 26)",0,0,0,1
"(6, 26)",1,0,1,0
"(7, 26)",1,0,0,1
"(8, 26)",0,0,1,1
"(9, 26)",0,1,1,1
"(10, 26)",0,0,1,1
"(11, 26)",0,0,1,1
"(12, 26)",0,1,1,0
"(13, 26)",1,0,0,1
"(14, 26)",0,0,1,1
"(15, 26)",1,0,1,0
"(16, 26)",0,1,0,1
"(17, 26)",1,0,1,0
"(18, 26)",1,1,0,0
"(19, 26)",0,1,0,1
"(20, 26)",0,0,1,1
"(21, 26)",1,0,1,0
"(22, 26)",1,1,0,0
"(1, 27)",1,1,0,1
"(2, 27)",0,0,1,1
"(3, 27)",0,1,1,0
"(4, 27)",0,1,0,1
"(5, 27)",1,0,1,0
"(6, 27)",0,1,0,1
"(7, 27)",0,1,1,1
"(8, 27)",0,0,1,1
"(9, 27)",1,0,1,0
"(10, 27)",1,0,0,1
"(11, 27)",0,0,1,1
"(12, 27)",1,0,1,0
"(13, 27)",0,1,0,1
"(14, 27)",1,0,1,0
"(15, 27)",0,1,0,1
"(16, 27)",1,0,1,0
"(17, 27)",0,1,0,1
"(18, 27)",1,1,1,0
"(19, 27)",0,0,0,1
"(20, 27)",1,0,1,0
"(21, 27)",0,1,0,1
"(22, 27)",1,1,1,0
"(1, 28)",1,1,0,0
"(2, 28)",0,0,0,1
"(3, 28)",1,0,1,1
"(4, 28)",1,0,1,0
"(5, 28)",0,1,0,1
"(6, 28)",0,0,1,1
"(7, 28)",1,0,1,0
"(8, 28)",1,0,0,1
"(9, 28)",0,1,1,0
"(10, 28)",1,1,0,0
"(11, 28)",1,0,0,0
"(12, 28)",1,1,0,0
"(13, 28)",1,0,0,1
"(14, 28)",0,1,1,0
"(15, 28)",1,0,0,1
"(16, 28)",0,1,1,0
"(17, 28)",1,0,0,1
"(18, 28)",0,1,1,1
"(19, 28)",0,0,1,1
"(20, 28)",0,1,1,1
"(21, 28)",0,0,1,0
"(22, 28)",1,1,0,0
"(1, 29)",0,1,0,1
"(2, 29)",0,0,1,1
"(3, 29)",0,1,1,0
"(4, 29)",1,1,0,0
"(5, 29)",1,0,0,1
"(6, 29)",0,0,1,0
"(7, 29)",1,1,0,0
"(8, 29)",0,1,0,0
"(9, 29)",1,0,0,1
"(10, 29)",0,1,1,0
"(11, 29)",1,1,0,0
"(12, 29)",1,1,0,0
"(13, 29)",1,1,0,1
"(14, 29)",1,0,1,0
"(15, 29)",0,1,0,0
"(16, 29)",1,0,0,1
"(17, 29)",0,1,1,0
"(18, 29)",1,0,0,1
"(19, 29)",0,0,1,1
"(20, 29)",1,0,1,0
"(21, 29)",1,0,0,1
"(22, 29)",0,1,1,0
"(1, 30)",1,0,0,1
"(2, 30)",1,0,1,0
"(3, 30)",1,0,0,1
"(4, 30)",0,1,1,0
"(5, 30)",0,1,0,1
"(6, 30)",1,0,1,0
"(7, 30)",0,1,0,1
"(8, 30)",1,0,1,0
"(9, 30)",1,1,0,0
"(10, 30)",0,0,0,1
"(11, 30)",1,1,1,0
"(12, 30)",1,1,0,0
"(13, 30)",0,1,0,0
"(14, 30)",0,1,0,1
"(15, 30)",0,0,1,1
"(16, 30)",0,1,1,1
"(17, 30)",0,0,1,0
"(18, 30)",1,1,0,0
"(19, 30)",1,0,0,0
"(20, 30)",1,1,0,0
"(21, 30)",1,1,0,0
"(22, 30)",1,0,0,0
"(1, 31)",1,1,0,0
"(2, 31)",1,1,0,0
"(3, 31)",0,1,0,1
"(4, 31)",1,0,1,0
"(5, 31)",1,0,0,1
"(6, 31)",0,1,1,0
"(7, 31)",1,0,0,1
"(8, 31)",1,1,1,0
"(9, 31)",0,1,0,1
"(10, 31)",0,0,1,1
"(11, 31)",1,1,1,0
"(12, 31)",0,1,0,1
"(13, 31)",0,0,1,1
"(14, 31)",0,0,1,1
"(15, 31)",1,0,1,0
"(16, 31)",1,0,0,1
"(17, 31)",0,0,1,1
"(18, 31)",0,1,1,0
"(19, 31)",1,1,0,0
"(20, 31)",1,1,0,0
"(21, 31)",0,1,0,1
"(22, 31)",1,1,1,0
"(1, 32)",1,1,0,0
"(2, 32)",0,1,0,1
"(3, 32)",0,0,1,1
"(4, 32)",0,1,1,0
"(5, 32)",1,1,0,0
"(6, 32)",1,0,0,1
"(7, 32)",0,1,1,0
"(8, 32)",0,1,0,1
"(9, 32)",0,0,1,1
"(10, 32)",0,0,1,0
"(11, 32)",1,1,0,0
"(12, 32)",0,0,0,1
"(13, 32)",0,0,1,1
"(14, 32)",1,0,1,0
"(15, 32)",1,1,0,0
"(16, 32)",0,1,0,1
"(17, 32)",1,0,1,0
"(18, 32)",0,0,0,1
"(19, 32)",1,1,1,0
"(20, 32)",1,1,0,0
"(21, 32)",1,0,0,1
"(22, 32)",0,1,1,0
"(1, 33)",0,1,0,1
"(2, 33)",0,0,1,1
"(3, 33)",0,0,1,1
"(4, 33)",0,0,1,1
"(5, 33)",0,1,1,0
"(6, 33)",0,1,0,1
"(7, 33)",0,0,1,1
"(8, 33)",0,0,1,1
"(9, 33)",0,0,1,1
"(10, 33)",0,0,1,1
"(11, 33)",0,1,1,1
"(12, 33)",0,0,1,1
"(13, 33)",0,0,1,1
"(14, 33)",0,1,1,0
"(15, 33)",0,1,0,1
"(16, 33)",0,0,1,1
"(17, 33)",0,1,1,1
"(18, 33)",0,0,1,1
"(19, 33)",0,1,1,0
"(20, 33)",0,1,0,1
"(21, 33)",0,1,1,1
"(22, 33)",0,0,1,0
